delta,n,method,error
0.5,500,TS-NIV,0.0074749080429077994
0.5,1000,TS-NIV,0.010562929443729361
0.5,5000,TS-NIV,0.0028788781350895447
0.5,10000,TS-NIV,0.00021789137228154934
0.5,50000,TS-NIV,3.9237086817894634e-05
1.0,100,TS-NIV,0.8260318249671046
1.0,500,TS-NIV,7.332077152896345
1.0,1000,TS-NIV,0.00409333832819235
1.0,5000,TS-NIV,0.003028841024458866
1.0,10000,TS-NIV,0.0027702391167202097
1.0,50000,TS-NIV,0.004935262403920939
0.0,100,TS-NIV,0.0019609544844384655
0.0,500,TS-NIV,0.0951882123629447
0.0,1000,TS-NIV,20.178652725895198
0.0,5000,TS-NIV,1.4790822053402124
0.0,10000,TS-NIV,16.301799466014707
0.0,50000,TS-NIV,3.0116685862217567
0.01,100,TS-NIV,1.9769389789355827
0.01,500,TS-NIV,0.0001098665231384754
0.01,1000,TS-NIV,4.457444460194056
0.01,5000,TS-NIV,1.7874955172911788
0.01,10000,TS-NIV,496.4825942459016
0.01,50000,TS-NIV,8.45273302074609
0.1,100,TS-NIV,1.2448812903690283
0.1,500,TS-NIV,0.04043230911952604
0.1,1000,TS-NIV,0.1139540575970382
0.1,5000,TS-NIV,0.24514717524780333
0.1,10000,TS-NIV,0.06635502210420657
0.1,50000,TS-NIV,0.0012084031364554583
0.5,100,TS-NIV,0.9516850710607604
0.5,500,TS-NIV,0.005264817588678495
0.5,1000,TS-NIV,0.13009949705159515
0.5,5000,TS-NIV,0.01955648553465989
0.5,10000,TS-NIV,0.005268033153626801
0.5,50000,TS-NIV,0.0015086758424667545
1.0,100,TS-NIV,1.2573604627442097
1.0,500,TS-NIV,0.03639041278854407
1.0,1000,TS-NIV,0.0600189429176496
1.0,5000,TS-NIV,0.011022429395571617
1.0,10000,TS-NIV,0.006148902864750546
1.0,50000,TS-NIV,0.0010760852078491388
0.0,100,TS-NIV,0.0709810591691418
0.0,500,TS-NIV,0.07710243508992251
0.0,1000,TS-NIV,0.20243343804340383
0.0,5000,TS-NIV,0.046823649369348984
0.0,10000,TS-NIV,1.4376114822726958
0.0,50000,TS-NIV,12.978727863728427
0.01,100,TS-NIV,8.73322294897486
0.01,500,TS-NIV,200.78794391405575
0.01,1000,TS-NIV,15.404187826130292
0.01,5000,TS-NIV,0.266391107301076
0.01,10000,TS-NIV,5.661230087530141
0.01,50000,TS-NIV,0.04387582199244969
0.1,100,TS-NIV,0.16767762473905795
0.1,500,TS-NIV,0.826371212712753
0.1,1000,TS-NIV,0.4405178520847557
0.1,5000,TS-NIV,0.7927896137893368
0.1,10000,TS-NIV,0.03634078874454933
0.1,50000,TS-NIV,0.0067865725158668564
0.5,100,TS-NIV,0.07244986397565645
0.5,500,TS-NIV,0.08458078694668304
0.5,1000,TS-NIV,0.010391804279767995
0.5,5000,TS-NIV,0.006677071241508273
0.5,10000,TS-NIV,0.0028815462268723183
0.5,50000,TS-NIV,0.0014723665892154595
1.0,100,TS-NIV,1.1911581319948656
1.0,500,TS-NIV,0.0355551500496542
1.0,1000,TS-NIV,0.00840355813412308
1.0,5000,TS-NIV,0.31835247997007265
1.0,10000,TS-NIV,0.000910770223423259
1.0,50000,TS-NIV,0.00020907685908893016
0.0,100,TS-NIV,4.39642408078201
0.0,500,TS-NIV,65.37635097041229
0.0,1000,TS-NIV,5.038018065750146
0.0,5000,TS-NIV,78.59237548812959
0.0,10000,TS-NIV,1.5658368146506243
0.0,50000,TS-NIV,1.4191793436190082e-05
0.01,100,TS-NIV,0.5081950628444077
0.01,500,TS-NIV,4.499834942723495
0.01,1000,TS-NIV,3423192.2537202174
0.01,5000,TS-NIV,5.277282122311263
0.01,10000,TS-NIV,0.2351004052475549
0.01,50000,TS-NIV,0.0588135789212576
0.1,100,TS-NIV,7.8384802381797725
0.1,500,TS-NIV,0.00047785557085081574
0.1,1000,TS-NIV,0.026955966510681297
0.1,5000,TS-NIV,0.00391450304682593
0.1,10000,TS-NIV,0.01847009836517109
0.1,50000,TS-NIV,0.005426649961476916
0.5,100,TS-NIV,0.9348453230890427
0.5,500,TS-NIV,0.6019821794342147
0.5,1000,TS-NIV,0.02968544419898958
0.5,5000,TS-NIV,0.012441587577645737
0.5,10000,TS-NIV,0.006040725345063532
0.5,50000,TS-NIV,3.3776949706963804e-05
1.0,100,TS-NIV,0.0810265933765648
1.0,500,TS-NIV,0.011427177701016415
1.0,1000,TS-NIV,0.027057670888076063
1.0,5000,TS-NIV,0.015714092153526777
1.0,10000,TS-NIV,0.0011223232759267328
1.0,50000,TS-NIV,3.005115534124617e-05
0.0,100,TS-NIV,0.5595260334856231
0.0,500,TS-NIV,3.523434461693185
0.0,1000,TS-NIV,0.004903651861918304
0.0,5000,TS-NIV,0.004140385260085364
0.0,10000,TS-NIV,0.07729728649215338
0.0,50000,TS-NIV,1.9835104381182118
0.01,100,TS-NIV,3.8068963123729755
0.01,500,TS-NIV,18.71296595819976
0.01,1000,TS-NIV,63.48017709469606
0.01,5000,TS-NIV,4.015161350334087
0.01,10000,TS-NIV,935.9087179878004
0.01,50000,TS-NIV,0.0492653810914774
0.1,100,TS-NIV,1.6529140129734345
0.1,500,TS-NIV,0.34283022566400945
0.1,1000,TS-NIV,0.7771609952261368
0.1,5000,TS-NIV,0.5044627056817755
0.1,10000,TS-NIV,11.821823902898842
0.1,50000,TS-NIV,0.20104459746443917
0.5,100,TS-NIV,1.4480754193247636
0.5,500,TS-NIV,15.082242388674292
0.5,1000,TS-NIV,0.38417399274482206
0.5,5000,TS-NIV,4.412440278382897
0.5,10000,TS-NIV,0.4043763641613163
0.5,50000,TS-NIV,4.235044639207034
1.0,100,TS-NIV,0.5650859720591651
1.0,500,TS-NIV,0.0006927441370570972
1.0,1000,TS-NIV,0.0012235384378617813
1.0,5000,TS-NIV,0.05290047627757456
1.0,10000,TS-NIV,7.603191626242259e-05
1.0,50000,TS-NIV,0.0008864745075809334
0.0,100,TS-NIV,4.083108581266413
0.0,500,TS-NIV,0.015410480838217791
0.0,1000,TS-NIV,0.04010851845888131
0.0,5000,TS-NIV,0.27993753160577806
0.0,10000,TS-NIV,0.05921474373127847
0.0,50000,TS-NIV,1.2463849107257348
0.01,100,TS-NIV,3.08271101348271
0.01,500,TS-NIV,0.1320858732275081
0.01,1000,TS-NIV,0.8371940083936169
0.01,5000,TS-NIV,1.0273374628613934
0.01,10000,TS-NIV,0.0343662914414235
0.01,50000,TS-NIV,0.06056637502670044
0.1,100,TS-NIV,59.0481011320356
0.1,500,TS-NIV,2.3237505737034536
0.1,1000,TS-NIV,0.36376282261443693
0.1,5000,TS-NIV,0.02121010097320832
0.1,10000,TS-NIV,0.04035698499594903
0.1,50000,TS-NIV,0.00010092430148573836
0.5,100,TS-NIV,0.09715607300989705
0.5,500,TS-NIV,0.010288520516759807
0.5,1000,TS-NIV,3.872275472631618
0.5,5000,TS-NIV,0.9698906240012047
0.5,10000,TS-NIV,0.007610118803890317
0.5,50000,TS-NIV,0.01014346894464354
1.0,100,TS-NIV,0.04619950119324068
1.0,500,TS-NIV,0.0254883415657461
1.0,1000,TS-NIV,0.0008880065078149624
1.0,5000,TS-NIV,0.0013565910584713934
1.0,10000,TS-NIV,0.0007474642186384878
1.0,50000,TS-NIV,0.0002883343823076179
0.0,100,TS-NIV,0.015196166871590741
0.0,500,TS-NIV,29.756754139448113
0.0,1000,TS-NIV,8.874605727739878
0.0,5000,TS-NIV,3.7557868097708846
0.0,10000,TS-NIV,0.0249524878468545
0.0,50000,TS-NIV,0.8664265100486714
0.01,100,TS-NIV,1083.8235881443195
0.01,500,TS-NIV,250.41207927463563
0.01,1000,TS-NIV,0.05871146388482658
0.01,5000,TS-NIV,41.652394063126636
0.01,10000,TS-NIV,5.578477184758851
0.01,50000,TS-NIV,13.675643806254676
0.1,100,TS-NIV,3.2290711137949875
0.1,500,TS-NIV,5.002892692094134
0.1,1000,TS-NIV,2.240039522612641
0.1,5000,TS-NIV,2.426074957554734
0.1,10000,TS-NIV,0.212698994186655
0.1,50000,TS-NIV,0.03904032669406804
0.5,100,TS-NIV,1.554071329917384
0.5,500,TS-NIV,0.0039890591392135865
0.5,1000,TS-NIV,0.06461459365929718
0.5,5000,TS-NIV,6.894905205388231
0.5,10000,TS-NIV,6.157359895699234
0.5,50000,TS-NIV,279.3516117627462
1.0,100,TS-NIV,179.81434267376326
1.0,500,TS-NIV,0.3419195470384565
1.0,1000,TS-NIV,0.21330520032028344
1.0,5000,TS-NIV,0.05847798084064727
1.0,10000,TS-NIV,0.0025908304486602653
1.0,50000,TS-NIV,0.4318164233842021
0.0,100,TS-NIV,0.9928696435020424
0.0,500,TS-NIV,0.21984299365039986
0.0,1000,TS-NIV,1.912031790576484
0.0,5000,TS-NIV,14.030608726141109
0.0,10000,TS-NIV,1.9520740013039375
0.0,50000,TS-NIV,1.2103437549452667
0.01,100,TS-NIV,0.07020942724560097
0.01,500,TS-NIV,0.30534462953366975
0.01,1000,TS-NIV,7.912244735077584
0.01,5000,TS-NIV,76.3849349832165
0.01,10000,TS-NIV,69.56600856340694
0.01,50000,TS-NIV,0.00129897378611709
0.1,100,TS-NIV,4.438544184590424
0.1,500,TS-NIV,0.025921845738364903
0.1,1000,TS-NIV,30.294768249689422
0.1,5000,TS-NIV,155.89945358292488
0.1,10000,TS-NIV,0.7117851021566828
0.1,50000,TS-NIV,0.010823413406130494
0.5,100,TS-NIV,0.4301938322392379
0.5,500,TS-NIV,0.009677454171451282
0.5,1000,TS-NIV,0.0017668438119801966
0.5,5000,TS-NIV,0.0014606456963767004
0.5,10000,TS-NIV,0.0036836215569096024
0.5,50000,TS-NIV,0.002363303328250366
1.0,100,TS-NIV,0.07261942230210325
1.0,500,TS-NIV,0.005849758311249482
1.0,1000,TS-NIV,0.004309544605383606
1.0,5000,TS-NIV,0.00010167139067839226
1.0,10000,TS-NIV,0.0009273868529609581
1.0,50000,TS-NIV,9.288900517880991e-05
0.0,100,TS-NIV,0.62911125552031
0.0,500,TS-NIV,0.0034698853877463296
0.0,1000,TS-NIV,0.03935866214578944
0.0,5000,TS-NIV,12.106212050585869
0.0,10000,TS-NIV,84.85162049224378
0.0,50000,TS-NIV,2.378174103571534
0.01,100,TS-NIV,31.741177775436196
0.01,500,TS-NIV,0.006074203549903416
0.01,1000,TS-NIV,1.0911242110420198
0.01,5000,TS-NIV,0.3800799130329724
0.01,10000,TS-NIV,7.961592196451026
0.01,50000,TS-NIV,60.75151206141965
0.1,100,TS-NIV,0.046181486060301695
0.1,500,TS-NIV,4.60852834313335
0.1,1000,TS-NIV,8.74317185231429
0.1,5000,TS-NIV,2.513875270751354
0.1,10000,TS-NIV,0.10560859008483266
0.1,50000,TS-NIV,2.1552938584614005
0.5,100,TS-NIV,91.41036871894885
0.5,500,TS-NIV,0.003630956292849544
0.5,1000,TS-NIV,1.069048689794593
0.5,5000,TS-NIV,8.210807270499133
0.5,10000,TS-NIV,0.6728370676877509
0.5,50000,TS-NIV,1.4849150812037677
1.0,100,TS-NIV,0.34713781489528767
1.0,500,TS-NIV,1.7600765111741183
1.0,1000,TS-NIV,8.340786759834563
1.0,5000,TS-NIV,7.987838478038913e-05
1.0,10000,TS-NIV,0.0036644493325464636
1.0,50000,TS-NIV,0.0028543140792020856
0.0,100,TS-NIV,1.5199174325333416
0.0,500,TS-NIV,0.010669752079822688
0.0,1000,TS-NIV,39.260049228161435
0.0,5000,TS-NIV,0.015582816745894554
0.0,10000,TS-NIV,82423.47210746146
0.0,50000,TS-NIV,0.36374245602451505
0.01,100,TS-NIV,10.4801643331447
0.01,500,TS-NIV,0.015343825884693487
0.01,1000,TS-NIV,0.5724758190719494
0.01,5000,TS-NIV,0.04637985173346834
0.01,10000,TS-NIV,10.748257081244393
0.01,50000,TS-NIV,1.12219467495391
0.1,100,TS-NIV,31.378402886549573
0.1,500,TS-NIV,0.0026817722858058194
0.1,1000,TS-NIV,0.4565117050372356
0.1,5000,TS-NIV,0.007036627978468105
0.1,10000,TS-NIV,0.0020530587043499377
0.1,50000,TS-NIV,0.00010310309933006992
0.5,100,TS-NIV,0.39663489516813655
0.5,500,TS-NIV,0.0403001252964568
0.5,1000,TS-NIV,0.0019065217655536491
0.5,5000,TS-NIV,0.0007529119198965666
0.5,10000,TS-NIV,0.0006713449158572152
0.5,50000,TS-NIV,7.835329751068205e-05
1.0,100,TS-NIV,0.1411683994550724
1.0,500,TS-NIV,0.20983221583946948
1.0,1000,TS-NIV,48.59302095682653
1.0,5000,TS-NIV,0.08640481471314373
1.0,10000,TS-NIV,0.1198567242278052
1.0,50000,TS-NIV,2.3560119359932004e-05
0.0,100,TS-NIV,0.560382345722798
0.0,500,TS-NIV,0.8167557279162492
0.0,1000,TS-NIV,359.92169826582483
0.0,5000,TS-NIV,763.8098232034074
0.0,10000,TS-NIV,66.61079872581908
0.0,50000,TS-NIV,0.7332336601723144
0.01,100,TS-NIV,254.7178134643416
0.01,500,TS-NIV,297.35563509003475
0.01,1000,TS-NIV,4.11503717629992
0.01,5000,TS-NIV,1.6031679769761187
0.01,10000,TS-NIV,1.5664109553830114
0.01,50000,TS-NIV,72.73389516471445
0.1,100,TS-NIV,0.8201977847091082
0.1,500,TS-NIV,50.99660839682642
0.1,1000,TS-NIV,0.7218821630589894
0.1,5000,TS-NIV,0.6792528974413186
0.1,10000,TS-NIV,0.09102991976602837
0.1,50000,TS-NIV,0.005992770346118302
0.5,100,TS-NIV,0.010268031560728249
0.5,500,TS-NIV,5.809588279055648
0.5,1000,TS-NIV,0.09616054738066204
0.5,5000,TS-NIV,0.43301263507858795
0.5,10000,TS-NIV,0.028822552864747865
0.5,50000,TS-NIV,0.02919908801438218
1.0,100,TS-NIV,0.0006459550849526613
1.0,500,TS-NIV,0.003035001326928805
1.0,1000,TS-NIV,0.0018083588728109738
1.0,5000,TS-NIV,0.0008784345656220039
1.0,10000,TS-NIV,0.00013273466385664594
1.0,50000,TS-NIV,0.000197093776018269
0.0,100,TS-NIV,0.493867827124783
0.0,500,TS-NIV,0.012750684165401253
0.0,1000,TS-NIV,4.192047942435517
0.0,5000,TS-NIV,0.8836532810714116
0.0,10000,TS-NIV,1.3600873783009972
0.0,50000,TS-NIV,0.05876596635883455
0.01,100,TS-NIV,3.1626645746786544
0.01,500,TS-NIV,2.723949078041514
0.01,1000,TS-NIV,0.19897580960617625
0.01,5000,TS-NIV,0.16279158380137657
0.01,10000,TS-NIV,6.019658404881675
0.01,50000,TS-NIV,1.2779115811169057
0.1,100,TS-NIV,1.3900823344956668
0.1,500,TS-NIV,0.011478144214530485
0.1,1000,TS-NIV,0.25074781334064344
0.1,5000,TS-NIV,16.91618702604503
0.1,10000,TS-NIV,56.21548007149833
0.1,50000,TS-NIV,0.47327563881878737
0.5,100,TS-NIV,0.8947240824045826
0.5,500,TS-NIV,0.02821663261489335
0.5,1000,TS-NIV,0.027813486834710265
0.5,5000,TS-NIV,0.0016539568155648332
0.5,10000,TS-NIV,0.00012680888370271133
0.5,50000,TS-NIV,0.0018541492759077888
1.0,100,TS-NIV,0.16012160375561083
1.0,500,TS-NIV,0.11695868434286086
1.0,1000,TS-NIV,11.40401891695821
1.0,5000,TS-NIV,0.06504332626552
1.0,10000,TS-NIV,0.01957690727830596
1.0,50000,TS-NIV,0.0023469097191765303
0.0,100,TS-NIV,0.9409653297839154
0.0,500,TS-NIV,0.7019875490124334
0.0,1000,TS-NIV,0.41667033387517505
0.0,5000,TS-NIV,1.6163561460612483
0.0,10000,TS-NIV,0.02009592837610452
0.0,50000,TS-NIV,3.04237655859853
0.01,100,TS-NIV,1.4458281182747545
0.01,500,TS-NIV,4.119286359581071
0.01,1000,TS-NIV,179.82762602099112
0.01,5000,TS-NIV,0.004585013100989148
0.01,10000,TS-NIV,0.1721495299359973
0.01,50000,TS-NIV,0.9386386623208769
0.1,100,TS-NIV,1.3387865607731693
0.1,500,TS-NIV,0.6145940491928462
0.1,1000,TS-NIV,1.7238668417780507
0.1,5000,TS-NIV,0.35517837602429797
0.1,10000,TS-NIV,0.49371918145593185
0.1,50000,TS-NIV,0.013706764948352733
0.5,100,TS-NIV,0.9631161801739313
0.5,500,TS-NIV,0.03461335468386209
0.5,1000,TS-NIV,0.21923239313315257
0.5,5000,TS-NIV,0.021326973828373806
0.5,10000,TS-NIV,0.001708204296123031
0.5,50000,TS-NIV,0.0003532376747578614
1.0,100,TS-NIV,77035.23394114216
1.0,500,TS-NIV,1.9107433889702892
1.0,1000,TS-NIV,0.16919886226559908
1.0,5000,TS-NIV,0.15447788095669288
1.0,10000,TS-NIV,0.09774613798133877
1.0,50000,TS-NIV,0.04176480381761254
0.0,100,TS-NIV,0.3815803919167613
0.0,500,TS-NIV,0.05401351325554324
0.0,1000,TS-NIV,4.41374789907865
0.0,5000,TS-NIV,0.3888387968131569
0.0,10000,TS-NIV,1.3394318676679435
0.0,50000,TS-NIV,39.96359927324596
0.01,100,TS-NIV,0.9072780656929699
0.01,500,TS-NIV,0.016563026671207685
0.01,1000,TS-NIV,0.8026802132797393
0.01,5000,TS-NIV,0.0014874141418000887
0.01,10000,TS-NIV,15.325213060940518
0.01,50000,TS-NIV,0.8272287536708991
0.1,100,TS-NIV,46.5370659717733
0.1,500,TS-NIV,1.1169832495361425
0.1,1000,TS-NIV,0.7584576845132344
0.1,5000,TS-NIV,14.040088426931332
0.1,10000,TS-NIV,0.07391544088648751
0.1,50000,TS-NIV,1.4037376851742038
0.5,100,TS-NIV,0.31034955853185203
0.5,500,TS-NIV,0.02663370075693288
0.5,1000,TS-NIV,16.34871762687935
0.5,5000,TS-NIV,0.09638939330943669
0.5,10000,TS-NIV,0.0094838110557336
0.5,50000,TS-NIV,0.012570283988778484
1.0,100,TS-NIV,2.555459500179582
1.0,500,TS-NIV,29.810265683952988
1.0,1000,TS-NIV,0.1112267564304161
1.0,5000,TS-NIV,0.16796581376354433
1.0,10000,TS-NIV,0.006537747054414058
1.0,50000,TS-NIV,0.07752688061941834
0.0,100,TS-NIV,0.20400449982111665
0.0,500,TS-NIV,351.4450786294417
0.0,1000,TS-NIV,4.250468128249294
0.0,5000,TS-NIV,0.01438918705195345
0.0,10000,TS-NIV,7.861822254182659
0.0,50000,TS-NIV,1.0334508905594066
0.01,100,TS-NIV,1.9652887920148083
0.01,500,TS-NIV,0.013337821043015972
0.01,1000,TS-NIV,14.913364209466241
0.01,5000,TS-NIV,80.45589468538233
0.01,10000,TS-NIV,86.2007243191915
0.01,50000,TS-NIV,16.81416944586815
0.1,100,TS-NIV,3.3987354980971034
0.1,500,TS-NIV,0.720920888269865
0.1,1000,TS-NIV,0.2938981576253506
0.1,5000,TS-NIV,0.3799360213945401
0.1,10000,TS-NIV,32.00150788599497
0.1,50000,TS-NIV,4.036918453586871
0.5,100,TS-NIV,3.99767276481335
0.5,500,TS-NIV,0.5440662719930478
0.5,1000,TS-NIV,0.20302339435878364
0.5,5000,TS-NIV,0.07850771463716365
0.5,10000,TS-NIV,0.059834888685014576
0.5,50000,TS-NIV,0.03114709796034932
1.0,100,TS-NIV,2.470253321599515
1.0,500,TS-NIV,30.852795953702454
1.0,1000,TS-NIV,0.006252803315429023
1.0,5000,TS-NIV,0.11472121115336835
1.0,10000,TS-NIV,0.01529935635636826
1.0,50000,TS-NIV,0.0025367599924770974
0.0,100,TS-NIV,0.4455202517902468
0.0,500,TS-NIV,4.2556035621711406
0.0,1000,TS-NIV,3.1376672706507476
0.0,5000,TS-NIV,5.771169633744866
0.0,10000,TS-NIV,58.95661772049294
0.0,50000,TS-NIV,9.714723290202333
0.01,100,TS-NIV,16.91994209379787
0.01,500,TS-NIV,0.8483813199261724
0.01,1000,TS-NIV,0.771389157731731
0.01,5000,TS-NIV,0.05022163898255665
0.01,10000,TS-NIV,0.5045681028468575
0.01,50000,TS-NIV,4.342007919456718
0.1,100,TS-NIV,0.1067465412797662
0.1,500,TS-NIV,0.060982256884323814
0.1,1000,TS-NIV,21.126793398505992
0.1,5000,TS-NIV,12.685098471519703
0.1,10000,TS-NIV,1.0490613055482672
0.1,50000,TS-NIV,1.4529216636851596
0.5,100,TS-NIV,0.013273812277420145
0.5,500,TS-NIV,0.3484525480927008
0.5,1000,TS-NIV,2.5149573097484583
0.5,5000,TS-NIV,0.0013808510749280635
0.5,10000,TS-NIV,0.002515692996568712
0.5,50000,TS-NIV,2.135398538784719e-05
1.0,100,TS-NIV,0.16236526756203037
1.0,500,TS-NIV,107.47664864086238
1.0,1000,TS-NIV,0.3767306541608445
1.0,5000,TS-NIV,123.72594671714924
1.0,10000,TS-NIV,0.06815622282911624
1.0,50000,TS-NIV,37.76411775804141
0.0,100,TS-NIV,1.9739337939634065
0.0,500,TS-NIV,278.77192376223707
0.0,1000,TS-NIV,4.22076298768504
0.0,5000,TS-NIV,815.2288990368486
0.0,10000,TS-NIV,13.197261224578238
0.0,50000,TS-NIV,0.6844154273152077
0.01,100,TS-NIV,0.035723948548687434
0.01,500,TS-NIV,0.04360459108497536
0.01,1000,TS-NIV,106.32723079801782
0.01,5000,TS-NIV,0.024716174516624563
0.01,10000,TS-NIV,5.702372946045122
0.01,50000,TS-NIV,0.06003376141478141
0.1,100,TS-NIV,2.5487076342429424
0.1,500,TS-NIV,0.2148520745963307
0.1,1000,TS-NIV,0.4214583302912094
0.1,5000,TS-NIV,1.0837958399569816
0.1,10000,TS-NIV,0.03376971665306384
0.1,50000,TS-NIV,0.22622804417104314
0.5,100,TS-NIV,0.17438672143704576
0.5,500,TS-NIV,0.2823046254929029
0.5,1000,TS-NIV,0.045186350179730744
0.5,5000,TS-NIV,0.01371160956304144
0.5,10000,TS-NIV,0.004154890299236557
0.5,50000,TS-NIV,0.0038221372934567925
1.0,100,TS-NIV,0.1392959789992559
1.0,500,TS-NIV,0.014726948108140132
1.0,1000,TS-NIV,0.2757126465073921
1.0,5000,TS-NIV,0.008268962726533692
1.0,10000,TS-NIV,0.0180870032024418
1.0,50000,TS-NIV,0.0007160515315410669
0.0,100,TS-NIV,30.087076280290432
0.0,500,TS-NIV,95.7085856609518
0.0,1000,TS-NIV,0.044992487097574814
0.0,5000,TS-NIV,2.4498070223761177
0.0,10000,TS-NIV,8.693291833156437
0.0,50000,TS-NIV,0.007577877499798953
0.01,100,TS-NIV,0.04196927800785433
0.01,500,TS-NIV,3.240724277219358
0.01,1000,TS-NIV,0.24056315684836266
0.01,5000,TS-NIV,3.3351520979778946
0.01,10000,TS-NIV,1.4997499944908916
0.01,50000,TS-NIV,0.04992738127495623
0.1,100,TS-NIV,0.6214179174823653
0.1,500,TS-NIV,0.37839282790617906
0.1,1000,TS-NIV,0.05689468278638846
0.1,5000,TS-NIV,0.00026871904020818536
0.1,10000,TS-NIV,0.07655237454725913
0.1,50000,TS-NIV,0.004399282018168435
0.5,100,TS-NIV,2.114342102352875
0.5,500,TS-NIV,0.021519105824099622
0.5,1000,TS-NIV,0.01375218670096039
0.5,5000,TS-NIV,3.174572933767026
0.5,10000,TS-NIV,0.008973013110814202
0.5,50000,TS-NIV,1.194392426916915
1.0,100,TS-NIV,0.9187097235726125
1.0,500,TS-NIV,0.07391061154844861
1.0,1000,TS-NIV,0.008307370740788998
1.0,5000,TS-NIV,0.001217163992854092
1.0,10000,TS-NIV,0.0015659885224880955
1.0,50000,TS-NIV,0.0007595258103827576
0.0,100,TS-NIV,169.15529369261805
0.0,500,TS-NIV,11.98342811132624
0.0,1000,TS-NIV,4.980621263200969
0.0,5000,TS-NIV,12.108686095276607
0.0,10000,TS-NIV,12.859636654512219
0.0,50000,TS-NIV,0.7719470640571898
0.01,100,TS-NIV,2428.5928251023124
0.01,500,TS-NIV,0.9340936060735743
0.01,1000,TS-NIV,20.28916074021119
0.01,5000,TS-NIV,7.0557701540035165
0.01,10000,TS-NIV,1.8555028490840286
0.01,50000,TS-NIV,0.5100350059735431
0.1,100,TS-NIV,0.6756114252420902
0.1,500,TS-NIV,16.088401270652334
0.1,1000,TS-NIV,1.232570218591344
0.1,5000,TS-NIV,1.707151717990376
0.1,10000,TS-NIV,0.1124370502714704
0.1,50000,TS-NIV,0.16936801882549152
0.5,100,TS-NIV,330.73209030932236
0.5,500,TS-NIV,0.6949103612028699
0.5,1000,TS-NIV,0.405258864324508
0.5,5000,TS-NIV,0.2421718739943443
0.5,10000,TS-NIV,0.03795960659879714
0.5,50000,TS-NIV,0.00023948943129055368
1.0,100,TS-NIV,0.1424792598679382
1.0,500,TS-NIV,0.057889440364099945
1.0,1000,TS-NIV,0.5310412721206086
1.0,5000,TS-NIV,0.007944081366436768
1.0,10000,TS-NIV,0.00918981545387381
1.0,50000,TS-NIV,1.430068872299671e-05
0.0,100,TS-NIV,0.25829756058961423
0.0,500,TS-NIV,0.016024181120153642
0.0,1000,TS-NIV,0.8326677612296831
0.0,5000,TS-NIV,0.3106934244690737
0.0,10000,TS-NIV,2.0577718803089002
0.0,50000,TS-NIV,1438.996120506361
0.01,100,TS-NIV,27.165903512134953
0.01,500,TS-NIV,0.0017193608688181178
0.01,1000,TS-NIV,5.9165946568891785
0.01,5000,TS-NIV,3.122870290395433
0.01,10000,TS-NIV,10.286752738924932
0.01,50000,TS-NIV,0.8386311393447361
0.1,100,TS-NIV,0.039008851188825445
0.1,500,TS-NIV,0.3599046107592421
0.1,1000,TS-NIV,0.05264403580807001
0.1,5000,TS-NIV,4.629708033085265
0.1,10000,TS-NIV,0.09937431924106682
0.1,50000,TS-NIV,0.0291538097449954
0.5,100,TS-NIV,1.7414844591578253
0.5,500,TS-NIV,0.025158933521823232
0.5,1000,TS-NIV,3.0362204408154527
0.5,5000,TS-NIV,1.7054317190760204
0.5,10000,TS-NIV,4.903393319041284
0.5,50000,TS-NIV,0.04218120942618958
1.0,100,TS-NIV,12.622296229294772
1.0,500,TS-NIV,0.4740789629713048
1.0,1000,TS-NIV,0.00486787444030281
1.0,5000,TS-NIV,3.05699526157823
1.0,10000,TS-NIV,1.3773953454193966
1.0,50000,TS-NIV,5.2102405761594195
0.0,100,TS-NIV,0.18785936256579902
0.0,500,TS-NIV,0.011186345606306023
0.0,1000,TS-NIV,804.2380563404093
0.0,5000,TS-NIV,0.02062458968513714
0.0,10000,TS-NIV,12.340093707221783
0.0,50000,TS-NIV,0.14578399173076587
0.01,100,TS-NIV,15.550812546246894
0.01,500,TS-NIV,0.23771165105150438
0.01,1000,TS-NIV,7.913708826119384
0.01,5000,TS-NIV,1.2852426452969792
0.01,10000,TS-NIV,2.9710200085481526
0.01,50000,TS-NIV,35.59538710980492
0.1,100,TS-NIV,0.5892454405067404
0.1,500,TS-NIV,0.47419177007069674
0.1,1000,TS-NIV,0.4039183462201036
0.1,5000,TS-NIV,1.4501293734993315
0.1,10000,TS-NIV,0.004125361161630141
0.1,50000,TS-NIV,48.204052107141074
0.5,100,TS-NIV,0.3748790062586728
0.5,500,TS-NIV,17.684464578301004
0.5,1000,TS-NIV,0.05516947215947709
0.5,5000,TS-NIV,0.1677978591500676
0.5,10000,TS-NIV,0.07464356494336134
0.5,50000,TS-NIV,0.00023031118441713981
1.0,100,TS-NIV,1.1631897323559166
1.0,500,TS-NIV,0.25821312833993004
1.0,1000,TS-NIV,0.008853339956831463
1.0,5000,TS-NIV,0.04527632963840473
1.0,10000,TS-NIV,0.03870144843924109
1.0,50000,TS-NIV,0.0015106699155132371
0.0,100,TS-NIV,0.45547466443451123
0.0,500,TS-NIV,0.13006105225687792
0.0,1000,TS-NIV,0.010546422503511621
0.0,5000,TS-NIV,25.098533868990792
0.0,10000,TS-NIV,0.04311170576610365
0.0,50000,TS-NIV,0.0005126120525111354
0.01,100,TS-NIV,90.29442167690962
0.01,500,TS-NIV,5.948913620141089
0.01,1000,TS-NIV,1.6638317867908707
0.01,5000,TS-NIV,81.49064487318657
